pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
RHO GTPases activate PKNs,Reactome,15,HIST1H3C;HIST1H3I;CDC25C;H2AFX;H2AFZ;HIST1H3F;HIST1H4F;HIST1H2BB;HIST1H2AC;HIST1H2AB;HIST1H4D;HIST1H2BG;HIST1H2BF;HIST1H2BH;HIST1H2AK,95 (96),2.17e-06,5.43e-05,1,HMDB00538,14 (15),0.0986,0.254,3.49e-06,5.66e-05
Transcriptional Regulation by E2F6,Wikipathways,5,RAD51;RBBP4;CBX5;CDC7;E2F1,10 (10),1.53e-05,0.00031,1,HMDB00538,2 (2),0.0147,0.119,3.67e-06,5.91e-05
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,Reactome,16,HIST1H3C;HIST1H3I;H2AFX;H2AFZ;HIST1H3F;HIST1H4F;HIST1H2BB;SETD1A;HIST1H2AC;HIST1H2AB;HIST1H4D;HIST1H2BG;HIST1H2BF;HIST1H2BH;HDAC1;HIST1H2AK,92 (94),2.55e-07,7.81e-06,0,,2 (2),1,1,4.13e-06,6.61e-05
Phosphatidylinositol phosphate metabolism,EHMN,14,NUP107;GPLD1;NUP50;NUP133;NUP37;PI4KA;NUP205;NUP62;NUP214;NUP188;OCRL;NUP210;GLA;NUP88,93 (93),8.38e-06,0.000184,2,HMDB00095;HMDB00538,39 (49),0.0323,0.149,4.36e-06,6.93e-05
Abortive elongation of HIV-1 transcript in the absence of Tat,Reactome,2,GTF2F1;NCBP1,23 (23),0.211,1,3,HMDB00285;HMDB00538;HMDB00082,4 (4),1.32e-06,0.000214,4.5e-06,7.11e-05
COPI-dependent Golgi-to-ER retrograde traffic,Reactome,13,KIF20A;KIF15;COPZ1;CENPE;RACGAP1;KIF20B;KIF11;KIFC1;KIF22;KIF2C;KIF18B;KIF16B;ZW10,82 (82),9.84e-06,0.000209,1,HMDB00538,4 (4),0.0292,0.138,4.61e-06,7.23e-05
RNA Polymerase II Pre-transcription Events,Reactome,5,TAF1;TAF9;GTF2F1;SSRP1;NCBP1,86 (88),0.218,1,3,HMDB00285;HMDB00538;HMDB00082,4 (4),1.32e-06,0.000214,4.63e-06,7.23e-05
B-WICH complex positively regulates rRNA expression,Reactome,16,HIST1H3C;HIST1H3I;H2AFX;H2AFZ;HIST1H3F;HIST1H4F;HIST1H2BB;DEK;HIST1H2AC;HIST1H2AB;HIST1H4D;MYBBP1A;HIST1H2BG;HIST1H2BF;HIST1H2BH;HIST1H2AK,93 (94),2.98e-07,8.99e-06,0,,2 (2),1,1,4.77e-06,7.41e-05
Packaging Of Telomere Ends,Reactome,11,H2AFX;H2AFZ;HIST1H4D;HIST1H4F;HIST1H2BB;HIST1H2AC;HIST1H2AB;HIST1H2BG;HIST1H2BF;HIST1H2BH;HIST1H2AK,53 (54),3.22e-06,7.91e-05,0,,0 (1),1,1,3.22e-06,7.91e-05
Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha),Reactome,6,EXO1;RPA1;LIG1;MSH6;POLD1;MLH1,14 (15),6.1e-06,0.000138,1,HMDB00538,8 (9),0.0575,0.186,5.57e-06,8.58e-05
Activation of DNA fragmentation factor,Reactome,6,HIST1H1E;HMGB1;HMGB2;KPNA1;KPNB1;HIST1H1D,13 (13),3.6e-06,8.73e-05,0,,0 (1),1,1,3.6e-06,8.73e-05
Apoptosis induced DNA fragmentation,Reactome,6,HIST1H1E;HMGB1;HMGB2;KPNA1;KPNB1;HIST1H1D,13 (13),3.6e-06,8.73e-05,0,,0 (1),1,1,3.6e-06,8.73e-05
Regulation of HSF1-mediated heat shock response,Reactome,13,NUP107;RPA1;NUP50;NUP133;NUP37;FKBP4;NUP62;NUP214;NUP188;NUP210;NDC1;NUP205;NUP88,81 (81),8.57e-06,0.000187,1,HMDB00538,6 (7),0.0434,0.161,5.88e-06,9.02e-05
Fanconi anemia pathway - Homo sapiens (human),KEGG,11,RAD51;BLM;MLH1;RPA1;USP1;FANCD2;EME1;FANCI;PALB2;BRIP1;REV1,54 (54),3.91e-06,9.3e-05,0,,0 (0),1,1,3.91e-06,9.3e-05
The role of GTSE1 in G2/M progression after G2 checkpoint,Reactome,5,CCNB1;PLK1;CCNB2;HSP90AB1;CDK1,11 (11),2.72e-05,0.000532,1,HMDB00538,2 (2),0.0147,0.119,6.29e-06,9.58e-05
UTP and CTP dephosphorylation II,HumanCyc,0,,4 (4),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,10 (11),4.12e-07,0.000214,6.48e-06,9.81e-05
tRNA processing,Reactome,14,NUP107;RAN;CSTF2;NSUN2;NUP50;NUP133;NUP37;NUP62;NUP214;NUP188;NUP210;NDC1;NUP205;NUP88,103 (103),2.76e-05,0.000535,2,HMDB00538;HMDB00082,27 (51),0.0161,0.129,6.95e-06,0.000105
Formation of the HIV-1 Early Elongation Complex,Reactome,2,GTF2F1;NCBP1,33 (33),0.35,1,3,HMDB00285;HMDB00538;HMDB00082,4 (4),1.32e-06,0.000214,7.23e-06,0.000108
Formation of the Early Elongation Complex,Reactome,2,GTF2F1;NCBP1,33 (33),0.35,1,3,HMDB00285;HMDB00538;HMDB00082,4 (4),1.32e-06,0.000214,7.23e-06,0.000108
Orc1 removal from chromatin,Reactome,7,MCM2;MCM3;MCM5;MCM6;CDT1;CDK2;CCNA2,26 (26),3.43e-05,0.000656,1,HMDB00538,2 (2),0.0147,0.119,7.8e-06,0.000115
Tat-mediated HIV elongation arrest and recovery,Reactome,2,GTF2F1;SSRP1,36 (38),0.391,1,3,HMDB00285;HMDB00538;HMDB00082,4 (4),1.32e-06,0.000214,8.01e-06,0.000117
Pausing and recovery of Tat-mediated HIV elongation,Reactome,2,GTF2F1;SSRP1,36 (38),0.391,1,3,HMDB00285;HMDB00538;HMDB00082,4 (4),1.32e-06,0.000214,8.01e-06,0.000117
Lagging Strand Synthesis,Reactome,5,POLD1;RFC5;LIG1;RPA1;POLA1,20 (20),0.000691,0.0112,2,HMDB00095;HMDB00538,6 (6),0.000753,0.0204,8.05e-06,0.000117
HIV elongation arrest and recovery,Reactome,2,GTF2F1;SSRP1,38 (40),0.417,1,3,HMDB00285;HMDB00538;HMDB00082,4 (4),1.32e-06,0.000214,8.51e-06,0.000122
Pausing and recovery of HIV elongation,Reactome,2,GTF2F1;SSRP1,38 (40),0.417,1,3,HMDB00285;HMDB00538;HMDB00082,4 (4),1.32e-06,0.000214,8.51e-06,0.000122
RNA Polymerase II Transcription Elongation,Reactome,3,GTF2F1;SSRP1;NCBP1,63 (65),0.42,1,3,HMDB00285;HMDB00538;HMDB00082,4 (4),1.32e-06,0.000214,8.55e-06,0.000122
Mismatch Repair,Reactome,6,MLH1;RPA1;LIG1;MSH6;POLD1;EXO1,15 (16),9.85e-06,0.000209,1,HMDB00538,8 (9),0.0575,0.186,8.71e-06,0.000124
DNA replication initiation,Reactome,2,POLE;POLA1,8 (8),0.0335,0.325,3,HMDB00285;HMDB00538;HMDB00082,8 (8),1.82e-05,0.000873,9.34e-06,0.000131
Telomere C-strand synthesis initiation,Reactome,2,POLE;POLA1,8 (8),0.0335,0.325,3,HMDB00285;HMDB00538;HMDB00082,8 (9),1.82e-05,0.000873,9.34e-06,0.000131
Meiotic synapsis,Reactome,9,SMC1A;H2AFX;HIST1H4D;HIST1H4F;HIST1H2BB;STAG3;HIST1H2BG;HIST1H2BF;HIST1H2BH,46 (47),4.2e-05,0.000793,1,HMDB00538,2 (3),0.0147,0.119,9.43e-06,0.000131
Generic Transcription Pathway,Reactome,68,TGFB1;RAD51;TRIM28;AURKA;FANCD2;HIST1H3F;HIST1H2AK;SETD1A;HSPD1;HIST1H2AC;CDK4;LRPPRC;GTF2F1;HIST1H2BG;BRIP1;HIST1H2BF;BARD1;EXO1;HDAC6;HIST1H3C;HIST1H3I;SMARCB1;EHMT2;HIST1H4D;HIST1H4F;NOC2L;CBX5;RBL1;FANCI;HDAC2;H2AFZ;BLM;TPX2;TOPBP1;MLH1;SMARCA4;H2AFX;SMARCC1;NCOR2;HIST1H2BB;CDK6;BIRC5;E2F1;E2F4;CDK2;CDK1;TAF1;HIPK2;HIST1H2AB;SSRP1;TAF9;RFC5;CDC25C;ATAD2;RPA1;DEK;CCNA2;MED24;RHNO1;E2F7;RBBP4;E2F8;HIST1H2BH;HDAC1;MYB;CCNB1;AURKB;CDC7,1099 (1107),2.11e-05,0.000419,2,HMDB03337;HMDB00538,37 (49),0.0292,0.138,9.43e-06,0.000131
Fanconi anemia pathway,PID,10,TOPBP1;RPA1;USP1;RFC5;FANCD2;FANCI;PALB2;BRIP1;H2AFX;BLM,46 (46),5.82e-06,0.000134,0,,0 (0),1,1,5.82e-06,0.000134
Regulation of PLK1 Activity at G2/M Transition,Reactome,13,CKAP5;PLK1;AURKA;CDK5RAP2;CCNB2;NEK2;CEP152;CDK1;CCNB1;BORA;PLK4;PCNT;ODF2,87 (87),1.91e-05,0.000382,1,HMDB00538,5 (5),0.0363,0.149,1.05e-05,0.000145
RNA Polymerase II Promoter Escape,Reactome,3,TAF1;TAF9;GTF2F1,46 (46),0.246,1,3,HMDB00285;HMDB00538;HMDB00082,5 (5),3.29e-06,0.000361,1.22e-05,0.000167
miR-targeted genes in epithelium - TarBase,Wikipathways,30,DHX15;SLC38A1;MET;SMC1A;ANP32B;PSAT1;CAND1;GALNT1;BRI3BP;VEZT;MTHFD2;CTSC;CHAF1A;C1QBP;HSD17B12;E2F1;ABCF2;ACAA2;PTBP1;PTMA;PLK1;GFM1;TRIP13;ATP2A2;AURKB;IQGAP3;PNP;CDK6;DCAF7;RAD23B,333 (333),7.52e-06,0.000168,0,,0 (0),1,1,7.52e-06,0.000168
RNA Polymerase II HIV Promoter Escape,Reactome,3,TAF1;TAF9;GTF2F1,47 (47),0.256,1,3,HMDB00285;HMDB00538;HMDB00082,5 (5),3.29e-06,0.000361,1.26e-05,0.000171
RNA Polymerase II Transcription Initiation,Reactome,3,TAF1;TAF9;GTF2F1,47 (47),0.256,1,3,HMDB00285;HMDB00538;HMDB00082,5 (5),3.29e-06,0.000361,1.26e-05,0.000171
HIV Transcription Initiation,Reactome,3,TAF1;TAF9;GTF2F1,47 (47),0.256,1,3,HMDB00285;HMDB00538;HMDB00082,5 (5),3.29e-06,0.000361,1.26e-05,0.000171
Tat-mediated elongation of the HIV-1 transcript,Reactome,3,GTF2F1;SSRP1;NCBP1,48 (50),0.266,1,3,HMDB00285;HMDB00538;HMDB00082,5 (5),3.29e-06,0.000361,1.31e-05,0.000175
HIV Transcription Elongation,Reactome,3,GTF2F1;SSRP1;NCBP1,48 (50),0.266,1,3,HMDB00285;HMDB00538;HMDB00082,5 (5),3.29e-06,0.000361,1.31e-05,0.000175
Activation of NIMA Kinases NEK9_ NEK6_ NEK7,Reactome,4,CCNB1;PLK1;CCNB2;CDK1,7 (7),6.14e-05,0.00114,1,HMDB00538,2 (2),0.0147,0.119,1.34e-05,0.000179
Synthesis of substrates in N-glycan biosythesis,Reactome,0,,63 (63),1,1,6,HMDB00285;HMDB01265;HMDB00082;HMDB00538;HMDB01176;HMDB00095,52 (68),9.99e-07,0.000214,1.48e-05,0.000196
RNA Polymerase III Abortive And Retractive Initiation,Reactome,1,GTF3A,41 (42),0.79,1,3,HMDB00285;HMDB00538;HMDB00082,4 (5),1.32e-06,0.000214,1.54e-05,0.000202
RNA Polymerase III Transcription,Reactome,1,GTF3A,41 (42),0.79,1,3,HMDB00285;HMDB00538;HMDB00082,4 (5),1.32e-06,0.000214,1.54e-05,0.000202
Spliceosome - Homo sapiens (human),KEGG,17,DHX15;SF3A3;TCERG1;SNRPD1;PRPF31;PRPF19;SNRNP40;NCBP1;DDX39B;SF3A1;ZMAT2;SNRPE;PPIL1;SF3B3;CHERP;SRSF4;EFTUD2,134 (134),1e-05,0.000212,0,,0 (0),1,1,1e-05,0.000212
The effect of progerin on the involved genes in Hutchinson-Gilford Progeria Syndrome,Wikipathways,7,SREBF1;RBBP4;CBX5;E2F1;SUV39H1;HDAC1;HDAC2,22 (22),1.01e-05,0.000212,0,,0 (0),1,1,1.01e-05,0.000212
DNA Damage Response,Wikipathways,13,RAD51;FANCD2;CDC25C;H2AFX;CDC25A;CCNB1;CCNB2;E2F1;SMC1A;CDK1;CDK2;CDK4;CDK6,68 (68),1.12e-06,2.94e-05,0,,1 (2),1,1,1.64e-05,0.000214
cRNA Synthesis,Reactome,0,,0 (0),1,1,3,HMDB00285;HMDB00538;HMDB00082,4 (4),1.32e-06,0.000214,1.32e-06,0.000214
vRNA Synthesis,Reactome,0,,0 (0),1,1,3,HMDB00285;HMDB00538;HMDB00082,4 (4),1.32e-06,0.000214,1.32e-06,0.000214
RNA Polymerase III Transcription,Wikipathways,0,,0 (0),1,1,3,HMDB00285;HMDB00538;HMDB00082,4 (5),1.32e-06,0.000214,1.32e-06,0.000214
Telomere Maintenance,Wikipathways,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,13 (14),1.39e-06,0.000214,1.39e-06,0.000214
Synthesis of DNA,Wikipathways,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,13 (13),1.39e-06,0.000214,1.39e-06,0.000214
mRNA Splicing - Major Pathway,Reactome,20,DHX15;SNRNP40;SNRPE;CSTF2;SNRPD1;PRPF31;PRPF19;SF3A3;NCBP1;CPSF2;FIP1L1;GTF2F1;SF3A1;SRSF4;SRRT;SF3B3;CHERP;PPIL1;PTBP1;EFTUD2,178 (178),1.09e-05,0.000225,0,,0 (0),1,1,1.09e-05,0.000225
Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA),Reactome,7,RAD51;BLM;EXO1;RAD51AP1;PALB2;BRIP1;BARD1,27 (27),4.48e-05,0.000839,1,HMDB00538,4 (4),0.0292,0.138,1.9e-05,0.000246
Nonhomologous End-Joining (NHEJ),Reactome,11,PAXIP1;BARD1;H2AFX;HIST1H4D;HIST1H4F;HIST1H2BB;HIST1H2BG;BABAM1;HIST1H2BF;HIST1H2BH;RNF168,69 (70),4.5e-05,0.000839,1,HMDB00538,4 (5),0.0292,0.138,1.91e-05,0.000246
RNA Polymerase III Chain Elongation,Reactome,0,,18 (19),1,1,3,HMDB00285;HMDB00538;HMDB00082,4 (4),1.32e-06,0.000214,1.92e-05,0.000247
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide_ LLO) and transfer to a nascent protein,Reactome,1,ALG10B,78 (78),0.949,1,6,HMDB00285;HMDB01265;HMDB00082;HMDB00538;HMDB01176;HMDB00095,55 (81),1.4e-06,0.000214,1.94e-05,0.000247
HATs acetylate histones,Reactome,19,TAF9;HIST1H3C;HIST1H3I;HIST1H2AG;HIST1H2AH;HIST1H3F;HIST1H4F;HIST1H2BB;HIST2H2AB;HCFC1;HIST1H2AB;HIST1H4D;HIST1H2BG;HIST1H2AC;HIST1H2BF;JADE1;HIST1H2BH;HIST1H2AK;RUVBL2,142 (142),1.35e-06,3.49e-05,0,,2 (2),1,1,1.95e-05,0.000248
Amyloid fiber formation,Reactome,14,HIST1H3C;HIST1H3I;H2AFX;H2AFZ;HIST1H3F;HIST1H4F;HIST1H2BB;HIST1H2AC;HIST1H2AB;HIST1H4D;HIST1H2BG;HIST1H2BF;HIST1H2BH;HIST1H2AK,81 (82),1.55e-06,3.98e-05,0,,3 (5),1,1,2.23e-05,0.000282
Mismatch repair - Homo sapiens (human),KEGG,7,RFC5;EXO1;RPA1;LIG1;MSH6;POLD1;MLH1,23 (23),1.41e-05,0.000287,0,,0 (0),1,1,1.41e-05,0.000287
Transcription of the HIV genome,Reactome,5,TAF1;TAF9;GTF2F1;SSRP1;NCBP1,75 (77),0.148,0.968,3,HMDB00285;HMDB00538;HMDB00082,7 (7),1.14e-05,0.000581,2.42e-05,0.000304
Transcription of E2F targets under negative control by DREAM complex,Reactome,6,CDC25A;RBBP4;RBL1;E2F1;TOP2A;E2F4,16 (16),1.53e-05,0.00031,0,,0 (0),1,1,1.53e-05,0.00031
Asparagine N-linked glycosylation,Reactome,10,COPZ1;B4GALT6;PSMC1;TRAPPC10;PRKCSH;CTSC;ALG10B;UGGT1;RAD23B;CANX,285 (286),0.625,1,6,HMDB00285;HMDB01265;HMDB00082;HMDB00538;HMDB01176;HMDB00095,62 (119),2.89e-06,0.000361,2.57e-05,0.000322
UTP and CTP dephosphorylation I,HumanCyc,0,,3 (3),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,14 (15),1.93e-06,0.000275,2.73e-05,0.000341
Cyclin A:Cdk2-associated events at S phase entry,Reactome,7,CDC25A;WEE1;CKS1B;FZR1;CDK2;CCNA2;CDK4,29 (29),7.38e-05,0.00135,1,HMDB00538,4 (4),0.0292,0.138,3.02e-05,0.000375
Signaling by Nuclear Receptors,Reactome,21,HIST1H3C;SMC1A;HIST1H3I;H2AFX;H2AFZ;HIST1H3F;HIST1H4F;HIST1H2BB;HIST1H2AC;HIST1H2AB;FKBP4;HIST1H4D;GTF2F1;HIST1H2BG;DLAT;HIST1H2BF;HIST1H2BH;HDAC1;MYB;HIST1H2AK;HSP90AB1,193 (195),1.09e-05,0.000225,1,HMDB00538,31 (36),0.206,0.46,3.13e-05,0.000386
Putative anti-Inflammatory metabolites formation from EPA,EHMN,10,NUP107;NUP50;NUP133;NUP37;NUP62;NUP214;NUP188;NUP210;NUP205;NUP88,42 (42),2.4e-06,5.93e-05,0,,7 (10),1,1,3.35e-05,0.000411
mRNA Splicing,Reactome,20,DHX15;SNRNP40;SNRPE;CSTF2;SNRPD1;PRPF31;PRPF19;SF3A3;NCBP1;PPIL1;FIP1L1;GTF2F1;SF3A1;SRSF4;SRRT;SF3B3;CHERP;CPSF2;PTBP1;EFTUD2,186 (186),2.09e-05,0.000417,0,,0 (0),1,1,2.09e-05,0.000417
Sialic acid metabolism,Wikipathways,0,,0 (0),1,1,4,HMDB00095;HMDB00538;HMDB01176;HMDB00082,17 (27),4.53e-06,0.000461,4.53e-06,0.000461
RNA Polymerase II Transcription Initiation And Promoter Clearance,Reactome,3,TAF1;TAF9;GTF2F1,47 (47),0.256,1,3,HMDB00285;HMDB00538;HMDB00082,7 (7),1.14e-05,0.000581,4.01e-05,0.00049
Influenza Life Cycle,Wikipathways,0,,0 (0),1,1,3,HMDB00285;HMDB00538;HMDB00082,6 (9),6.56e-06,0.000498,6.56e-06,0.000498
Interconversion of nucleotide di- and triphosphates,Wikipathways,0,,0 (0),1,1,5,HMDB00095;HMDB00285;HMDB00538;HMDB03337;HMDB00082,41 (51),7.29e-06,0.000498,7.29e-06,0.000498
Rolitetracycline Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,19 (20),7.31e-06,0.000498,7.31e-06,0.000498
Demeclocycline Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,19 (21),7.31e-06,0.000498,7.31e-06,0.000498
Arbekacin Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,19 (20),7.31e-06,0.000498,7.31e-06,0.000498
Lymecycline Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,19 (20),7.31e-06,0.000498,7.31e-06,0.000498
Clomocycline Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,19 (20),7.31e-06,0.000498,7.31e-06,0.000498
Tobramycin Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Troleandomycin Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Clarithromycin Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Clindamycin Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Methacycline Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Azithromycin Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Streptomycin Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Spectinomycin Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Gentamicin Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Erythromycin Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Josamycin Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Kanamycin Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Netilmicin Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Neomycin Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Roxithromycin Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Amikacin Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Telithromycin Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Doxycycline Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Oxytetracycline Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Minocycline Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Lincomycin Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Chloramphenicol Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Paromomycin Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Tetracycline Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
Tigecycline Action Pathway,SMPDB,0,,0 (0),1,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,20 (20),9.09e-06,0.000498,9.09e-06,0.000498
ATM pathway,PID,8,FANCD2;CDC25C;H2AFX;CDC25A;TRIM28;CTBP1;SMC1A;BLM,34 (34),2.74e-05,0.000533,0,,0 (0),1,1,2.74e-05,0.000533
CMP phosphorylation,HumanCyc,0,,11 (11),1,1,3,HMDB00095;HMDB00538;HMDB00082,5 (5),3.29e-06,0.000361,4.49e-05,0.000543
RNA polymerase II transcribes snRNA genes,Wikipathways,0,,7 (7),1,1,3,HMDB00285;HMDB00538;HMDB00082,5 (6),3.29e-06,0.000361,4.49e-05,0.000543
RNA Polymerase I Transcription,Wikipathways,0,,0 (0),1,1,3,HMDB00285;HMDB00538;HMDB00082,7 (7),1.14e-05,0.000581,1.14e-05,0.000581
NoRC negatively regulates rRNA expression,Wikipathways,0,,0 (0),1,1,3,HMDB00285;HMDB00538;HMDB00082,7 (7),1.14e-05,0.000581,1.14e-05,0.000581
Phosphate bond hydrolysis by NTPDase proteins,Reactome,1,ENTPD5,8 (8),0.262,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,22 (25),1.36e-05,0.000684,4.84e-05,0.000582
Metabolism of carbohydrates,Reactome,18,NUP107;PFKL;NUP210;NUP50;NUP133;PGP;NUP37;B4GALT6;NUP62;NUP214;VCAN;NUP188;PPP2R5D;HMMR;NDC1;NUP88;NUP205;TPI1,263 (264),0.00988,0.123,5,HMDB00094;HMDB00095;HMDB00285;HMDB00538;HMDB01176,91 (137),0.000363,0.0115,4.85e-05,0.000582
Alcoholism - Homo sapiens (human),KEGG,21,HIST1H3C;HIST1H3I;H2AFX;HIST1H2AH;HIST1H4D;HIST1H4F;HIST1H2AK;H2AFZ;HIST1H2AG;HIST1H2AC;HIST1H2AB;HIST1H2BB;HIST1H3F;HIST1H2BG;HDAC1;HIST1H2BF;HIST2H2AB;HIST1H2BH;HDAC2;HDAC6;PPP1CC,180 (180),3.61e-06,8.73e-05,0,,10 (10),1,1,4.89e-05,0.000583
Interconversion of nucleotide di- and triphosphates,Reactome,2,TAF9;DUT,34 (34),0.364,1,5,HMDB00095;HMDB03337;HMDB00538;HMDB00285;HMDB00082,44 (52),1.04e-05,0.000564,5.12e-05,0.000608
cdk regulation of dna replication,BioCarta,6,MCM2;MCM3;MCM5;MCM6;CDT1;CDK2,18 (18),3.32e-05,0.000637,0,,0 (0),1,1,3.32e-05,0.000637
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,Reactome,6,CDC25C;AURKA;RBL1;E2F4;CDK1;CCNB1,18 (18),3.32e-05,0.000637,0,,0 (0),1,1,3.32e-05,0.000637
Signaling by NOTCH,Reactome,8,NCOR2;E2F1;PLXND1;HDAC1;HDAC2;DLGAP5;TACC3;HDAC6,119 (120),0.0771,0.628,3,HMDB00095;HMDB00538;HMDB01176,11 (11),5.29e-05,0.00221,5.46e-05,0.000646
miR-targeted genes in lymphocytes - TarBase,Wikipathways,37,DHX15;SLC38A1;MET;ANP32B;PSAT1;RCOR1;CAND1;IQGAP3;GALNT1;CTSC;BRI3BP;EHMT2;ANAPC1;MTHFD2;UHRF1;SMC1A;CHAF1A;C1QBP;HSD17B12;ABCF2;E2F1;ACAA2;PLXND1;PTBP1;PLK1;GFM1;USP1;TRIP13;ATP2A2;AURKB;VEZT;CDK6;MYB;PNP;PTMA;DCAF7;RAD23B,489 (489),3.53e-05,0.000671,0,,0 (0),1,1,3.53e-05,0.000671
