pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Pre-NOTCH Processing in the Endoplasmic Reticulum,Reactome,0,,6 (6),1,1,2,HMDB00295;HMDB01201,4 (4),0.00117,0.0493,0.00906,0.105
Removal of the Flap Intermediate from the C-strand,Reactome,0,,10 (10),1,1,2,HMDB00288;HMDB01397,4 (5),0.00117,0.0493,0.00906,0.105
Removal of the Flap Intermediate,Reactome,0,,14 (14),1,1,2,HMDB00288;HMDB01397,4 (4),0.00117,0.0493,0.00906,0.105
Processive synthesis on the lagging strand,Reactome,0,,15 (15),1,1,2,HMDB00288;HMDB01397,4 (4),0.00117,0.0493,0.00906,0.105
Glycosphingolipid biosynthesis - lactoseries,EHMN,1,FUT1,7 (7),0.294,1,2,HMDB00295;HMDB01201,7 (19),0.00398,0.0983,0.00908,0.105
Cholinergic synapse - Homo sapiens (human),KEGG,12,PRKCA;PIK3CA;CACNA1S;PIK3CG;CAMK2A;AKT3;CAMK2D;PLCB4;ATF4;GNG2;CREB3L2;ITPR2,112 (112),0.00811,0.218,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,11 (12),0.147,0.579,0.00921,0.106
antigen processing and presentation,BioCarta,4,TAP1;CD74;PSMB9;B2M,12 (12),0.00199,0.107,0,,0 (0),1,1,0.00199,0.107
Transmission across Chemical Synapses,Reactome,15,SYN3;MDM2;UNC13B;STXBP1;PRKCA;CAMK2A;CAMK2D;RPS6KA2;RPS6KA3;CACNA1E;GLS;BRAF;GNG2;GLUL;CASK,223 (224),0.126,0.798,4,HMDB00220;HMDB00806;HMDB01201;HMDB01043,60 (65),0.00961,0.18,0.00938,0.107
Oxytocin signaling pathway - Homo sapiens (human),KEGG,11,PRKCA;CACNA1S;PIK3CG;CAMK2A;MEF2C;CAMK2D;PPP1R12A;PLCB4;PPP3CC;ITPR2;PRKAG2,152 (152),0.121,0.785,2,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01043,11 (13),0.0101,0.18,0.0094,0.107
IGF signaling,INOH,5,IGFBP5;BRAF;IGF1R;PIK3CA;AKT3,36 (36),0.0288,0.399,1,HMDB01201,3 (4),0.0423,0.338,0.0094,0.107
CD28 dependent Vav1 pathway,Reactome,3,PAK1;CD28;CD80,12 (12),0.0181,0.323,1,HMDB01201,5 (5),0.0695,0.374,0.00964,0.108
Signaling mediated by p38-alpha and p38-beta,PID,4,MEF2C;MKNK1;ATF1;MAPK11,35 (35),0.088,0.697,1,HMDB01201,1 (1),0.0143,0.22,0.00966,0.108
Signaling events mediated by focal adhesion kinase,PID,7,BRAF;ARHGEF11;PIK3CA;PAK1;BMX;RAP1B;BCAR1,62 (62),0.03,0.399,1,HMDB01201,3 (3),0.0423,0.338,0.00973,0.108
Netrin-1 signaling,Reactome,3,PAK1;UNC5B;DCC,41 (41),0.321,1,2,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01201,7 (8),0.00398,0.0983,0.00979,0.108
Sphingolipid signaling pathway - Homo sapiens (human),KEGG,10,MAPK11;MAPK13;PIK3CA;S1PR1;AKT3;PLCB4;PRKCZ;PLD2;MAPK12;PRKCA,118 (118),0.0609,0.569,2,HMDB04951;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,16 (16),0.021,0.302,0.0098,0.108
Caspase activation via extrinsic apoptotic signalling pathway,Reactome,6,CASP3;CFLAR;TNFSF10;UNC5B;LY96;DCC,26 (26),0.00128,0.0805,0,,3 (3),1,1,0.00981,0.108
superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis,HumanCyc,3,CTPS2;CMPK2;CMPK1,15 (15),0.0335,0.411,2,HMDB00288;HMDB00295,22 (23),0.0383,0.338,0.00983,0.108
IL8- and CXCR2-mediated signaling events,PID,5,PLD2;PRKCA;GNG2;RAB11A;PIK3CG,34 (34),0.023,0.359,1,HMDB01201,4 (4),0.056,0.374,0.00987,0.108
terminal <i>O</i>-glycans residues modification,HumanCyc,1,ST6GAL1,12 (12),0.45,1,2,HMDB00295;HMDB01201,6 (9),0.00287,0.0845,0.00988,0.108
Thyroid hormone signaling pathway - Homo sapiens (human),KEGG,12,MDM2;PLCD3;ATP1B3;FOXO1;NCOA1;PIK3CA;NCOR1;AKT3;PLCB4;PLCG2;STAT1;PRKCA,116 (116),0.0106,0.247,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,9 (11),0.122,0.512,0.00988,0.108
Syndecan interactions,Reactome,5,SDC3;SDC4;PRKCA;CASK;SDC1,20 (20),0.00224,0.112,0,,0 (2),1,1,0.00224,0.112
visual signal transduction,BioCarta,1,PDE6A,13 (13),0.477,1,2,HMDB01201;HMDB01397,6 (6),0.00287,0.0845,0.0104,0.113
Adrenergic signaling in cardiomyocytes - Homo sapiens (human),KEGG,14,MAPK11;CACNA1S;CREB3L2;PRKCA;RAPGEF3;ATP1B3;PIK3CG;CAMK2A;AKT3;CAMK2D;MAPK13;ATF4;PLCB4;MAPK12,144 (144),0.0103,0.247,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,10 (11),0.134,0.545,0.0105,0.113
Regulation of lipolysis in adipocytes - Homo sapiens (human),KEGG,5,PNPLA2;AKT3;PIK3CA;INSR;IRS2,54 (54),0.12,0.781,2,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01043,12 (15),0.012,0.202,0.0109,0.117
Signaling by Erythropoietin,Wikipathways,0,,0 (0),1,1,2,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01201,8 (9),0.00526,0.118,0.00526,0.118
Netrin-1 signaling,Wikipathways,0,,0 (0),1,1,2,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01201,8 (9),0.00526,0.118,0.00526,0.118
Phospholipase D signaling pathway - Homo sapiens (human),KEGG,14,PDGFA;PDGFRA;PIK3CA;RAPGEF3;PIK3CG;AKT3;DGKH;PLCB4;PDGFD;PLCG2;PLD2;INSR;PRKCA;AGPAT4,145 (146),0.0109,0.25,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,10 (13),0.134,0.545,0.011,0.118
Signaling by NTRK1 (TRKA),Reactome,9,MAPK11;BRAF;ADORA2A;PIK3CA;MEF2C;ATF1;IRS2;RPS6KA3;RPS6KA2,76 (76),0.0111,0.252,1,HMDB01201,10 (11),0.134,0.545,0.0112,0.119
Asparagine N-linked glycosylation,Wikipathways,0,,0 (0),1,1,4,HMDB00288;HMDB00295;HMDB01201;HMDB01546,51 (101),0.00539,0.12,0.00539,0.12
Ferroptosis - Homo sapiens (human),KEGG,5,SLC3A2;SLC40A1;CP;ATG7;MAP1LC3B,40 (40),0.043,0.477,2,HMDB02226;HMDB01043,21 (31),0.0351,0.338,0.0113,0.121
TNF signaling pathway - Homo sapiens (human),KEGG,13,MAPK11;CXCL10;CASP3;CFLAR;CREB3L2;PIK3CA;IRF1;AKT3;MAPK13;ATF4;CXCL3;MAPK12;BIRC2,110 (110),0.00257,0.123,0,,0 (0),1,1,0.00257,0.123
Glycerophospholipid biosynthesis,Reactome,11,LPCAT2;GPCPD1;LPIN1;PLA2G12A;ETNK1;LIPH;PNPLA2;SLC44A1;PLD2;PCYT1B;AGPAT4,133 (133),0.0588,0.557,3,HMDB10384;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB08048#HMDB08036#HMDB08038,46 (93),0.0266,0.317,0.0117,0.124
RAB geranylgeranylation,Reactome,7,RAB23;RAB2B;RAB6B;RAB3D;RAB5B;RAB30;RAB11A,65 (65),0.0375,0.449,1,HMDB01201,3 (3),0.0423,0.338,0.0118,0.125
Insulin Pathway,PID,6,RHOQ;PIK3CA;SGK1;PRKCZ;EXOC2;INSR,46 (46),0.023,0.359,1,HMDB01201,5 (5),0.0695,0.374,0.0119,0.125
Fatty acid metabolism,Reactome,13,ALDH3A2;TBXAS1;FAAH;PON3;HACD3;EHHADH;PTGIS;ALOX12;PHYH;HACD4;ELOVL7;ACOT7;PRKAG2,185 (189),0.116,0.767,7,HMDB10384;HMDB00220;HMDB08048#HMDB08036#HMDB08038;HMDB01388;HMDB01043;HMDB00673;HMDB01999,186 (367),0.0139,0.22,0.012,0.125
Endocytosis - Homo sapiens (human),KEGG,19,MDM2;PDGFRA;ZFYVE16;TGFBR1;PRKCZ;CXCR4;RAB5B;ARFGAP3;KIF5C;VPS36;GRK5;CHMP5;FGFR2;IGF1R;PLD2;STAM;SH3GLB1;ARPC2;RAB11A,244 (244),0.0289,0.399,1,HMDB01201,4 (6),0.056,0.374,0.012,0.125
Glycogen metabolism,Reactome,3,GBE1;PGM2L1;PYGL,22 (22),0.0885,0.697,2,HMDB00288;HMDB00295,15 (17),0.0185,0.273,0.0122,0.125
Human immunodeficiency virus 1 infection - Homo sapiens (human),KEGG,17,PRKCA;MAPK11;PAK1;MAPK13;CASP3;AP1S2;PIK3CA;CXCR4;PPP3CC;AKT3;SAMHD1;TAP1;B2M;PLCG2;GNG2;MAPK12;ITPR2,212 (212),0.0294,0.399,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,4 (5),0.056,0.374,0.0122,0.125
Influenza A - Homo sapiens (human),KEGG,18,MAPK11;IVNS1ABP;CASP1;EIF2AK3;JAK1;TNFSF10;PIK3CA;CXCL10;OAS3;AKT3;MAPK13;NLRP3;IL18;RNASEL;STAT1;TRIM25;MAPK12;PRKCA,171 (171),0.00165,0.0971,0,,2 (3),1,1,0.0122,0.125
superpathway of pyrimidine deoxyribonucleoside salvage,HumanCyc,2,CMPK2;CMPK1,17 (17),0.199,0.916,3,HMDB00295;HMDB01546;HMDB01201,30 (31),0.00832,0.159,0.0122,0.125
GPVI-mediated activation cascade,Reactome,5,PLCG2;PDPN;PIK3CA;PRKCZ;PIK3CG,33 (33),0.0204,0.346,1,HMDB01201,6 (8),0.0829,0.406,0.0125,0.127
phospholipids as signalling intermediaries,BioCarta,5,PIK3CA;PRKCA;PDGFRA;PDGFA;S1PR1,33 (33),0.0204,0.346,1,HMDB01201,6 (7),0.0829,0.406,0.0125,0.127
Cell death signalling via NRAGE_ NRIF and NADE,Reactome,8,ARHGEF11;CASP3;ARHGEF12;APH1B;SQSTM1;FGD4;ARHGEF6;TIAM2,76 (78),0.0307,0.399,1,HMDB01201,4 (4),0.056,0.374,0.0127,0.128
Nucleotide-binding domain_ leucine rich repeat containing receptor (NLR) signaling pathways,Reactome,8,MAPK11;CASP1;MAPK13;TXNIP;BIRC2;NLRP3;CYLD;MAPK12,47 (47),0.00173,0.0995,0,,3 (6),1,1,0.0128,0.129
Nectin adhesion pathway,PID,4,F11R;PIK3CA;RAP1B;FARP2,31 (31),0.0614,0.569,1,HMDB01201,2 (3),0.0284,0.317,0.0128,0.129
Platelet activation_ signaling and aggregation,Reactome,19,APBB1IP;PDGFA;SPARC;SERPING1;PDPN;PRKCA;RAPGEF3;PIK3CG;ITPR2;CTSW;DGKH;RAP1B;PRKCZ;PIK3CA;PLCG2;GNG2;BCAR1;HGF;STXBP3,260 (260),0.0498,0.511,2,HMDB01201;HMDB01043,21 (33),0.0351,0.338,0.0129,0.129
Heparan sulfate/heparin (HS-GAG) metabolism,Reactome,6,SDC3;NDST1;SDC1;SDC4;NCAN;GPC4,54 (54),0.0459,0.495,2,HMDB00288;HMDB00295,22 (35),0.0383,0.338,0.0129,0.129
Regulation of TP53 Expression and Degradation,Reactome,7,MDM2;MDM4;RNF34;SGK1;AKT3;PRDM1;PRR5,37 (37),0.00177,0.101,0,,5 (5),1,1,0.013,0.129
Control of immune tolerance by vasoactive intestinalpeptide,Wikipathways,4,IL10;CD28;CTLA4;CD80,13 (13),0.00277,0.13,0,,0 (0),1,1,0.00277,0.13
Leptin,NetPath,9,JAK1;FOXO1;LEPR;NCOA1;IGF1R;IRS2;PLCG2;STAT1;RPS6KA2,62 (62),0.00287,0.132,0,,0 (1),1,1,0.00287,0.132
alpha-Linolenic acid metabolism - Homo sapiens (human),KEGG,1,PLA2G12A,25 (25),0.712,1,3,HMDB01388;HMDB06547;HMDB08048#HMDB08036#HMDB08038,20 (42),0.00257,0.0845,0.0134,0.132
Ca2+ pathway,Reactome,5,PDE6A;PRKCA;GNG2;ITPR2;CAMK2A,53 (53),0.113,0.751,2,HMDB01201;HMDB01397,14 (16),0.0162,0.245,0.0134,0.132
Plasma membrane estrogen receptor signaling,PID,6,MAPK11;PIK3CA;IGF1R;MMP2;GNG2;BCAR1,42 (42),0.0151,0.294,1,HMDB01201,9 (9),0.122,0.512,0.0134,0.132
Pathways in cancer - Homo sapiens (human),KEGG,39,FOXO1;TGFBR1;RASSF5;HGF;AKT3;FLT4;IGF1R;JAK1;BRAF;PDGFA;PDGFRA;PIK3CA;CXCR4;CAMK2A;CAMK2D;RASGRP3;MAX;GNG2;CASP3;ARHGEF12;WNT10A;NCOA1;BIRC2;PRKCA;LAMC1;PLCB4;FGFR2;PLCG2;MMP2;ITGA3;DCC;PTCH1;MDM2;ARHGEF11;IL5RA;EPAS1;STAT1;EDNRA;CCND2,526 (526),0.00558,0.183,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,28 (35),0.333,1,0.0135,0.132
Glycosphingolipid metabolism,EHMN,2,SMPD3;KMT2E,69 (69),0.855,1,4,HMDB11592#HMDB06750;HMDB04951;HMDB04971#HMDB04972#HMDB04974#HMDB04975;HMDB00295,40 (55),0.0022,0.0812,0.0137,0.133
Syndecan-4-mediated signaling events,PID,4,SDC4;PRKCA;CXCR4;TNFRSF13B,32 (32),0.0676,0.599,1,HMDB01201,2 (2),0.0284,0.317,0.0139,0.134
MET activates RAP1 and RAC1,Reactome,2,HGF;RAP1B,9 (9),0.0676,0.599,1,HMDB01201,2 (2),0.0284,0.317,0.0139,0.134
PI3K/AKT Signaling in Cancer,Reactome,12,MDM2;PDGFA;FOXO1;HGF;CD28;CD80;AKT3;IRS2;FGFR2;PDGFRA;PIK3CA;PRR5,94 (94),0.00193,0.106,0,,4 (17),1,1,0.014,0.134
Nanoparticle triggered regulated necrosis,Wikipathways,0,,10 (10),1,1,2,HMDB04951;HMDB01043,5 (7),0.00193,0.073,0.014,0.134
SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion,Reactome,3,PLXNA1;NRP1;FARP2,14 (14),0.0278,0.396,1,HMDB01201,5 (5),0.0695,0.374,0.014,0.134
Calcium signaling pathway - Homo sapiens (human),KEGG,16,CACNA1H;PLCD3;PDGFRA;ADORA2A;CACNA1E;PRKCA;CACNA1S;CXCR4;CAMK2A;PDE1A;CAMK2D;PLCB4;EDNRA;PPP3CC;PLCG2;ITPR2,185 (186),0.0182,0.323,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,8 (10),0.109,0.479,0.0143,0.136
Glycosaminoglycan metabolism,Reactome,11,HEXA;CHPF;SDC3;NDST1;SDC1;SDC4;LYVE1;CHST1;NCAN;CHST3;GPC4,119 (119),0.0299,0.399,2,HMDB00288;HMDB00295,30 (60),0.0672,0.374,0.0145,0.137
Refsum Disease,SMPDB,3,PHYH;ALDH3A2;ABCD2,6 (6),0.00204,0.107,0,,24 (24),1,1,0.0147,0.138
Phytanic Acid Peroxisomal Oxidation,SMPDB,3,PHYH;ALDH3A2;ABCD2,6 (6),0.00204,0.107,0,,24 (24),1,1,0.0147,0.138
Collagen biosynthesis and modifying enzymes,Reactome,8,COL2A1;COL3A1;COL5A2;COL24A1;COL22A1;COL11A1;COL1A1;COL1A2,68 (68),0.0168,0.311,1,HMDB00295,9 (9),0.122,0.512,0.0147,0.138
Signaling by FGFR3,Reactome,3,BRAF;PIK3CA;MKNK1,40 (40),0.307,1,2,HMDB00295;HMDB01201,9 (10),0.0067,0.14,0.0148,0.138
IL4,NetPath,9,MAPK11;JAK1;PIK3CA;CXCR4;IRS2;PRKCZ;PLCG2;STAT1;STAM,63 (63),0.00321,0.139,0,,0 (0),1,1,0.00321,0.139
Integration of energy metabolism,Reactome,6,CACNA1E;PRKCA;RAPGEF3;GNG2;ITPR2;PRKAG2,94 (94),0.306,1,3,HMDB00220;HMDB00618#HMDB01548;HMDB01201,28 (34),0.00684,0.142,0.015,0.14
Neurotransmitter release cycle,Reactome,5,SYN3;UNC13B;GLS;STXBP1;CASK,51 (51),0.1,0.703,3,HMDB00220;HMDB00806;HMDB01043,42 (45),0.0209,0.302,0.015,0.14
p75 NTR receptor-mediated signalling,Wikipathways,0,,0 (0),1,1,2,HMDB04951;HMDB01201,9 (9),0.0067,0.14,0.0067,0.14
Signaling by FGFR3,Wikipathways,0,,0 (0),1,1,2,HMDB00295;HMDB01201,9 (12),0.0067,0.14,0.0067,0.14
Synthesis of substrates in N-glycan biosythesis,Reactome,4,DPM3;ST6GAL1;ST8SIA6;GFPT1,63 (63),0.366,1,4,HMDB00288;HMDB00295;HMDB01201;HMDB01546,52 (68),0.00579,0.128,0.0152,0.14
Axon guidance - Homo sapiens (human),KEGG,18,PRKCA;PAK1;RYK;ARHGEF12;CAMK2D;PIK3CA;CXCR4;CAMK2A;PLXNA1;SRGAP1;UNC5B;PLXNC1;PRKCZ;PPP3CC;PLCG2;NRP1;DCC;PTCH1,175 (175),0.00214,0.109,0,,1 (1),1,1,0.0153,0.141
Pyrimidine metabolism,EHMN,5,CMPK1;ENPP2;ENPP1;POLR1A;ENTPD4,135 (136),0.791,1,5,HMDB00288;HMDB00618#HMDB01548;HMDB00295;HMDB01201;HMDB01546,70 (77),0.00272,0.0845,0.0154,0.141
Cell surface interactions at the vascular wall,Reactome,13,CD84;F11R;ATP1B3;JCHAIN;SDC4;EPCAM;PIK3CA;CD74;SDC1;SDC3;ITGAL;SLC3A2;ITGA3,218 (219),0.262,1,2,HMDB00658#HMDB10370;HMDB01201,10 (13),0.00831,0.159,0.0155,0.142
Purine metabolism,Wikipathways,0,,7 (7),1,1,4,HMDB01044;HMDB00618#HMDB01548;HMDB01201;HMDB01397,40 (42),0.0022,0.0812,0.0157,0.142
Carboxyterminal post-translational modifications of tubulin,Reactome,2,TTLL7;TUBB2B,38 (38),0.557,1,2,HMDB00158;HMDB01201,7 (9),0.00398,0.0983,0.0158,0.142
PI3K-Akt Signaling Pathway,Wikipathways,29,COL2A1;JAK1;HGF;AKT3;RELN;FLT4;SGK1;IGF1R;PDGFA;PDGFRA;PIK3CA;PIK3CG;PDGFD;GNG2;PRKCA;LAMC1;FGF11;ATF4;FGFR2;ITGA3;MDM2;INSR;TNXB;ITGB7;PRLR;CCND2;CREB3L2;COL1A1;COL1A2,339 (340),0.00222,0.112,0,,3 (4),1,1,0.0158,0.142
Activation of the phototransduction cascade,Reactome,1,PDE6A,11 (11),0.422,1,2,HMDB01201;HMDB01397,8 (8),0.00526,0.118,0.0158,0.142
Signaling by NOTCH,Reactome,8,DNER;TBL1XR1;APH1B;NCOR1;TLE4;STAT1;MAML2;AGO4,119 (120),0.221,0.929,2,HMDB00295;HMDB01201,11 (11),0.0101,0.18,0.0158,0.142
MET promotes cell motility,Reactome,4,HGF;ITGA3;RAP1B;LAMC1,27 (27),0.0398,0.456,1,HMDB01201,4 (4),0.056,0.374,0.0158,0.142
PDGF receptor signaling network,PID,3,PDGFA;PDGFRA;PDGFD,7 (7),0.00344,0.143,0,,0 (1),1,1,0.00344,0.143
ras-independent pathway in nk cell-mediated cytotoxicity,BioCarta,5,PIK3CA;CD28;PAK1;IL18;B2M,22 (22),0.00351,0.143,0,,0 (0),1,1,0.00351,0.143
Transcription factor regulation in adipogenesis,Wikipathways,5,FOXO1;INSR;NR3C1;IRS2;LPIN1,22 (22),0.00351,0.143,0,,0 (1),1,1,0.00351,0.143
IL2,NetPath,10,JAK1;PIK3CA;PIK3CG;STAT1;SGK1;PRKCZ;NMI;IRS2;NR3C1;MKNK1,76 (76),0.00359,0.143,0,,0 (0),1,1,0.00359,0.143
EPHA2 forward signaling,PID,3,PAK1;BCAR1;PIK3CA,18 (18),0.054,0.531,1,HMDB01201,3 (3),0.0423,0.338,0.0162,0.144
Rapid glucocorticoid signaling,PID,2,MAPK11;GNG2,8 (8),0.0543,0.531,1,HMDB01201,3 (3),0.0423,0.338,0.0162,0.144
Sphingolipid metabolism - Homo sapiens (human),KEGG,1,SMPD3,47 (47),0.904,1,3,HMDB11592#HMDB06750;HMDB04951;HMDB04971#HMDB04972#HMDB04974#HMDB04975,20 (25),0.00257,0.0845,0.0164,0.145
il-2 receptor beta chain in t cell activation,BioCarta,5,PIK3CA;JAK1;IKZF3;CCND2;NMI,48 (48),0.082,0.668,1,HMDB01201,2 (2),0.0284,0.317,0.0165,0.145
Regulation of CDC42 activity,PID,4,DOCK11;ARHGEF6;BCAR3;FARP2,30 (30),0.0555,0.535,1,HMDB01201,3 (3),0.0423,0.338,0.0166,0.146
Thyroid hormone synthesis - Homo sapiens (human),KEGG,7,PDIA4;ATP1B3;PRKCA;PLCB4;ATF4;CREB3L2;ITPR2,74 (74),0.0673,0.599,2,HMDB00618#HMDB01548;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,21 (21),0.0351,0.338,0.0167,0.146
Transport to the Golgi and subsequent modification,Reactome,12,MIA3;FUT8;CD55;STX17;USO1;ARFGAP3;ST6GAL1;MGAT4A;SCFD1;ST8SIA6;ARF4;CTAGE5,168 (168),0.117,0.771,2,HMDB00295;HMDB01201,16 (36),0.021,0.302,0.0172,0.147
Collagen formation,Reactome,10,COL2A1;COL3A1;COL5A2;COL24A1;CTSS;COL22A1;COL11A1;LOX;COL1A1;COL1A2,92 (92),0.0136,0.281,1,HMDB00295,14 (14),0.183,0.686,0.0174,0.147
Fat digestion and absorption - Homo sapiens (human),KEGG,1,PLA2G12A,41 (41),0.871,1,2,HMDB00658#HMDB10370;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,6 (13),0.00287,0.0845,0.0175,0.147
HGF,INOH,4,PLCG2;HGF;RAP1B;PIK3CA,35 (35),0.088,0.697,1,HMDB01201,2 (2),0.0284,0.317,0.0175,0.147
Prostate cancer - Homo sapiens (human),KEGG,12,MDM2;PDGFA;PDGFRA;BRAF;PIK3CA;AKT3;ATF4;PDGFD;FGFR2;IGF1R;FOXO1;CREB3L2,97 (97),0.00252,0.123,0,,11 (11),1,1,0.0176,0.147
mTOR signaling pathway - Homo sapiens (human),KEGG,16,RRAGD;BRAF;IGF1R;WNT10A;LPIN1;CLIP1;PIK3CA;SGK1;AKT3;ATP6V1E1;RPS6KA2;RPS6KA3;SLC3A2;INSR;PRKCA;PRR5,150 (151),0.00256,0.123,0,,3 (3),1,1,0.0178,0.147
Tuberculosis - Homo sapiens (human),KEGG,18,MAPK11;CTSS;IL10;MAPK13;JAK1;ARHGEF12;MRC1;CD74;RAB5B;CAMK2A;AKT3;CAMK2D;STAT1;IL18;ATP6V0A1;CASP3;MAPK12;PPP3CC,178 (179),0.00258,0.123,0,,7 (9),1,1,0.0179,0.147
TCR signaling in na&#xef;ve CD4+ T cells,PID,7,RASSF5;PRKCA;CD28;CD80;CARD11;STK39;GRAP2,68 (68),0.0463,0.497,1,HMDB01201,4 (4),0.056,0.374,0.018,0.147
Purine Metabolism,SMPDB,1,XDH,37 (37),0.842,1,5,HMDB00536;HMDB01044;HMDB00618#HMDB01548;HMDB01201;HMDB01397,72 (73),0.00308,0.0845,0.0181,0.147
Xanthinuria type I,SMPDB,1,XDH,37 (37),0.842,1,5,HMDB00536;HMDB01044;HMDB00618#HMDB01548;HMDB01201;HMDB01397,72 (73),0.00308,0.0845,0.0181,0.147
Xanthinuria type II,SMPDB,1,XDH,37 (37),0.842,1,5,HMDB00536;HMDB01044;HMDB00618#HMDB01548;HMDB01201;HMDB01397,72 (73),0.00308,0.0845,0.0181,0.147
Purine Nucleoside Phosphorylase Deficiency,SMPDB,1,XDH,37 (37),0.842,1,5,HMDB00536;HMDB01044;HMDB00618#HMDB01548;HMDB01201;HMDB01397,72 (73),0.00308,0.0845,0.0181,0.147
Xanthine Dehydrogenase Deficiency (Xanthinuria),SMPDB,1,XDH,37 (37),0.842,1,5,HMDB00536;HMDB01044;HMDB00618#HMDB01548;HMDB01201;HMDB01397,72 (73),0.00308,0.0845,0.0181,0.147
Adenylosuccinate Lyase Deficiency,SMPDB,1,XDH,37 (37),0.842,1,5,HMDB00536;HMDB01044;HMDB00618#HMDB01548;HMDB01201;HMDB01397,72 (73),0.00308,0.0845,0.0181,0.147
Adenine phosphoribosyltransferase deficiency (APRT),SMPDB,1,XDH,37 (37),0.842,1,5,HMDB00536;HMDB01044;HMDB00618#HMDB01548;HMDB01201;HMDB01397,72 (73),0.00308,0.0845,0.0181,0.147
Mitochondrial DNA depletion syndrome,SMPDB,1,XDH,37 (37),0.842,1,5,HMDB00536;HMDB01044;HMDB00618#HMDB01548;HMDB01201;HMDB01397,72 (73),0.00308,0.0845,0.0181,0.147
Myoadenylate deaminase deficiency,SMPDB,1,XDH,37 (37),0.842,1,5,HMDB00536;HMDB01044;HMDB00618#HMDB01548;HMDB01201;HMDB01397,72 (73),0.00308,0.0845,0.0181,0.147
Molybdenum Cofactor Deficiency,SMPDB,1,XDH,37 (37),0.842,1,5,HMDB00536;HMDB01044;HMDB00618#HMDB01548;HMDB01201;HMDB01397,72 (73),0.00308,0.0845,0.0181,0.147
Adenosine Deaminase Deficiency,SMPDB,1,XDH,37 (37),0.842,1,5,HMDB00536;HMDB01044;HMDB00618#HMDB01548;HMDB01201;HMDB01397,72 (73),0.00308,0.0845,0.0181,0.147
Gout or Kelley-Seegmiller Syndrome,SMPDB,1,XDH,37 (37),0.842,1,5,HMDB00536;HMDB01044;HMDB00618#HMDB01548;HMDB01201;HMDB01397,72 (73),0.00308,0.0845,0.0181,0.147
Lesch-Nyhan Syndrome (LNS),SMPDB,1,XDH,37 (37),0.842,1,5,HMDB00536;HMDB01044;HMDB00618#HMDB01548;HMDB01201;HMDB01397,72 (73),0.00308,0.0845,0.0181,0.147
AICA-Ribosiduria,SMPDB,1,XDH,37 (37),0.842,1,5,HMDB00536;HMDB01044;HMDB00618#HMDB01548;HMDB01201;HMDB01397,72 (73),0.00308,0.0845,0.0181,0.147
SHC1 events in ERBB2 signaling,Reactome,1,PRKCA,22 (22),0.666,1,2,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01201,7 (8),0.00398,0.0983,0.0184,0.149
Signaling by MET,Reactome,7,LRIG1;ITGA3;HGF;LAMC1;RAP1B;STAM;PIK3CA,61 (61),0.0277,0.396,1,HMDB01201,7 (8),0.096,0.441,0.0184,0.149
Non-integrin membrane-ECM interactions,Reactome,7,PDGFA;SDC3;PRKCA;LAMC1;SDC1;SDC4;CASK,42 (42),0.00377,0.149,0,,0 (3),1,1,0.00377,0.149
Toll-like Receptor Signaling Pathway,Wikipathways,12,MAPK11;MAPK13;TLR5;PIK3CA;CXCL10;CD80;PIK3CG;IRF5;AKT3;STAT1;LY96;MAPK12,102 (102),0.00384,0.15,0,,0 (0),1,1,0.00384,0.15
